gutenberg_id,book_title,story_title,author,word_count,dialogue_pct,fernandez_huerta,cognate_density,viable,rejection_reasons
54064,La cruz en América (Arqueología Argentina),FIN,"Quiroga, Adán",775,0.0,85.82,0.52,False,Dialogue (0.0%) < 20%
54064,La cruz en América (Arqueología Argentina),EL SAPO Y EL URUBÚ,"Quiroga, Adán",468,2.78,84.96,0.85,False,Dialogue (2.78%) < 20%
13507,Cuentos de Amor de Locura y de Muerte,,"Quiroga, Horacio",2222,0.0,84.27,0.27,False,Word count (2222) outside 400-1800; Dialogue (0.0%) < 20%
54064,La cruz en América (Arqueología Argentina),DE BRINTON             DE RIALLE,"Quiroga, Adán",246,0.0,81.72,0.41,False,Word count (246) outside 400-1800; Dialogue (0.0%) < 20%
13507,Cuentos de Amor de Locura y de Muerte,,"Quiroga, Horacio",7509,0.05,81.11,0.23,False,Word count (7509) outside 400-1800; Dialogue (0.05%) < 20%
13507,Cuentos de Amor de Locura y de Muerte,,"Quiroga, Horacio",1506,0.0,81.03,0.33,False,Dialogue (0.0%) < 20%
13507,Cuentos de Amor de Locura y de Muerte,III,"Quiroga, Horacio",3020,0.0,78.96,0.36,False,Word count (3020) outside 400-1800; Dialogue (0.0%) < 20%
13507,Cuentos de Amor de Locura y de Muerte,,"Quiroga, Horacio",2666,0.0,78.49,0.41,False,Word count (2666) outside 400-1800; Dialogue (0.0%) < 20%
13507,Cuentos de Amor de Locura y de Muerte,,"Quiroga, Horacio",3293,0.27,77.68,0.33,False,Word count (3293) outside 400-1800; Dialogue (0.27%) < 20%
13507,Cuentos de Amor de Locura y de Muerte,,"Quiroga, Horacio",2227,0.0,77.15,0.31,False,Word count (2227) outside 400-1800; Dialogue (0.0%) < 20%
13507,Cuentos de Amor de Locura y de Muerte,,"Quiroga, Horacio",1152,0.0,76.32,0.26,False,Dialogue (0.0%) < 20%
13507,Cuentos de Amor de Locura y de Muerte,,"Quiroga, Horacio",1066,0.0,75.34,0.56,False,Dialogue (0.0%) < 20%
54064,La cruz en América (Arqueología Argentina),"CAPÍTULO I

LA CRUZ EN AMÉRICA","Quiroga, Adán",7986,1.24,74.79,0.35,False,Word count (7986) outside 400-1800; Dialogue (1.24%) < 20%
13507,Cuentos de Amor de Locura y de Muerte,,"Quiroga, Horacio",2764,0.0,74.52,0.36,False,Word count (2764) outside 400-1800; Dialogue (0.0%) < 20%
13507,Cuentos de Amor de Locura y de Muerte,,"Quiroga, Horacio",2392,0.0,73.88,0.33,False,Word count (2392) outside 400-1800; Dialogue (0.0%) < 20%
54064,La cruz en América (Arqueología Argentina),CAPÍTULO IX,"Quiroga, Adán",3753,1.36,73.0,0.37,False,Word count (3753) outside 400-1800; Dialogue (1.36%) < 20%
54064,La cruz en América (Arqueología Argentina),CAPÍTULO IV,"Quiroga, Adán",6506,0.95,72.99,0.38,False,Word count (6506) outside 400-1800; Dialogue (0.95%) < 20%
13507,Cuentos de Amor de Locura y de Muerte,,"Quiroga, Horacio",1941,0.0,72.83,0.77,False,Word count (1941) outside 400-1800; Dialogue (0.0%) < 20%
13507,Cuentos de Amor de Locura y de Muerte,,"Quiroga, Horacio",2355,0.0,72.79,0.38,False,Word count (2355) outside 400-1800; Dialogue (0.0%) < 20%
13507,Cuentos de Amor de Locura y de Muerte,,"Quiroga, Horacio",3367,0.0,72.49,0.33,False,Word count (3367) outside 400-1800; Dialogue (0.0%) < 20%
13507,Cuentos de Amor de Locura y de Muerte,,"Quiroga, Horacio",2484,0.0,72.16,0.48,False,Word count (2484) outside 400-1800; Dialogue (0.0%) < 20%
13507,Cuentos de Amor de Locura y de Muerte,,"Quiroga, Horacio",1710,0.0,71.23,0.58,False,Dialogue (0.0%) < 20%
54064,La cruz en América (Arqueología Argentina),LA CRUZ EN LA ALFARERÍA FUNERARIA,"Quiroga, Adán",9090,0.24,70.22,0.2,False,Word count (9090) outside 400-1800; Dialogue (0.24%) < 20%
54064,La cruz en América (Arqueología Argentina),ÍNDICES PARCIALES,"Quiroga, Adán",2972,0.0,70.1,0.61,False,Word count (2972) outside 400-1800; Dialogue (0.0%) < 20%
13507,Cuentos de Amor de Locura y de Muerte,,"Quiroga, Horacio",1220,0.0,70.06,0.41,False,Dialogue (0.0%) < 20%
54064,La cruz en América (Arqueología Argentina),"CAPÍTULO III

LA CRUZ SIMBÓLICA","Quiroga, Adán",4995,0.58,69.47,0.38,False,Word count (4995) outside 400-1800; Dialogue (0.58%) < 20%
13507,Cuentos de Amor de Locura y de Muerte,,"Quiroga, Horacio",3367,0.03,69.3,0.24,False,Word count (3367) outside 400-1800; Dialogue (0.03%) < 20%
54064,La cruz en América (Arqueología Argentina),"CAPÍTULO II

EL SIGNO CRUCIFORME","Quiroga, Adán",3799,0.53,68.63,0.32,False,Word count (3799) outside 400-1800; Dialogue (0.53%) < 20%
54064,La cruz en América (Arqueología Argentina),Y PICTOGRAFÍAS,"Quiroga, Adán",4937,1.01,66.12,0.38,False,Word count (4937) outside 400-1800; Dialogue (1.01%) < 20%
54064,La cruz en América (Arqueología Argentina),PRÓLOGO,"Quiroga, Adán",4813,0.17,65.86,0.31,False,Word count (4813) outside 400-1800; Dialogue (0.17%) < 20%
13507,Cuentos de Amor de Locura y de Muerte,,"Quiroga, Horacio",3518,0.0,65.66,0.4,False,Word count (3518) outside 400-1800; Dialogue (0.0%) < 20%
54064,La cruz en América (Arqueología Argentina),"CAPÍTULO V

LA CRUZ Y EL NÚMERO CUATRO","Quiroga, Adán",4916,0.43,64.15,0.22,False,Word count (4916) outside 400-1800; Dialogue (0.43%) < 20%; Fernández Huerta (64.15) < 65
54064,La cruz en América (Arqueología Argentina),"CAPÍTULO VII

LA CRUZ EN LOS ÍDOLOS","Quiroga, Adán",6755,0.8,63.84,0.36,False,Word count (6755) outside 400-1800; Dialogue (0.8%) < 20%; Fernández Huerta (63.84) < 65
54064,La cruz en América (Arqueología Argentina),"CAPÍTULO X

RESUMEN SINTÉTICO","Quiroga, Adán",3614,0.19,28.38,0.47,False,Word count (3614) outside 400-1800; Dialogue (0.19%) < 20%; Fernández Huerta (28.38) < 65
